TimeUNIX/UTC,TimestampUTC,Hsigm,Tps,Dpdeg,
1630425769,2021-08-31T16:02:49.000Z,0.53,14.62,243.435,
1630427569,2021-08-31T16:32:49.000Z,0.47,14.62,243.435,
1630429369,2021-08-31T17:02:49.000Z,0.49,14.62,241.2,
1630431169,2021-08-31T17:32:49.000Z,0.49,14.62,242.084,
1630432969,2021-08-31T18:02:49.000Z,0.51,14.62,242.115,
1630434769,2021-08-31T18:32:49.000Z,0.49,8.52,242.024,
1630436569,2021-08-31T19:02:49.000Z,0.49,14.62,243.058,
1630438369,2021-08-31T19:32:49.000Z,0.51,14.62,240.874,
1630440169,2021-08-31T20:02:49.000Z,0.52,14.62,238.509,
1630441969,2021-08-31T20:32:49.000Z,0.56,14.62,240.211,
1630443769,2021-08-31T21:02:49.000Z,0.5,12.8,243.565,
1630445569,2021-08-31T21:32:49.000Z,0.55,14.62,240.454,
1630447369,2021-08-31T22:02:49.000Z,0.52,11.36,242.075,
1630449169,2021-08-31T22:32:49.000Z,0.54,14.62,242.746,
1630450969,2021-08-31T23:02:49.000Z,0.43,10.24,239.731,
1630452769,2021-08-31T23:32:49.000Z,0.12,14.62,239.774,
1630454569,2021-09-01T00:02:49.000Z,0.5,14.62,240.428,
1630456369,2021-09-01T00:32:49.000Z,0.27,17.06,237.613,
1630458169,2021-09-01T01:02:49.000Z,0.5,14.62,240.592,
1630459969,2021-09-01T01:32:49.000Z,0.54,17.06,241.406,
1630461769,2021-09-01T02:02:49.000Z,0.49,14.62,244.496,
1630463569,2021-09-01T02:32:49.000Z,0.53,14.62,241.87,
1630465369,2021-09-01T03:02:49.000Z,0.5,14.62,248.085,
1630467169,2021-09-01T03:32:49.000Z,0.49,14.62,247.507,
1630468969,2021-09-01T04:02:49.000Z,0.48,17.06,244.476,
1630470769,2021-09-01T04:32:49.000Z,0.48,14.62,241.272,
1630472569,2021-09-01T05:02:49.000Z,0.47,14.62,243.555,
1630474369,2021-09-01T05:32:49.000Z,0.47,14.62,243.297,
1630476169,2021-09-01T06:02:49.000Z,0.46,14.62,239.486,
1630477969,2021-09-01T06:32:49.000Z,0.42,14.62,239.682,
1630479769,2021-09-01T07:02:49.000Z,0.29,14.62,241.948,
1630481569,2021-09-01T07:32:49.000Z,0.46,14.62,239.376,
1630483369,2021-09-01T08:02:49.000Z,0.43,14.62,244.495,
